id,title,artist,album,disc
1,Challenger,Perfume,Perfume The Best P Cubed,1
2,リニアモーターガール,Perfume,Perfume The Best P Cubed,1
3,コンピューターシティ,Perfume,Perfume The Best P Cubed,1
4,エレクトロ・ワールド,Perfume,Perfume The Best P Cubed,1
5,チョコレイト・ディスコ,Perfume,Perfume The Best P Cubed,1
6,ポリリズム,Perfume,Perfume The Best P Cubed,1
7,Baby cruising Love,Perfume,Perfume The Best P Cubed,1
8,ワンルーム・ディスコ,Perfume,Perfume The Best P Cubed,1
9,レーザービーム,Perfume,Perfume The Best P Cubed,2
10,Spring of Life,Perfume,Perfume The Best P Cubed,2
